stream_crossing_id,dam_id,misc_barrier_anthropogenic_id,modelled_crossing_id,crossing_source,pscis_status,crossing_type_code,crossing_subtype_code,modelled_crossing_type_source,barrier_status,pscis_road_name,transport_line_structured_name_1,transport_line_type_description,transport_line_surface_description,ften_forest_file_id,ften_file_type_description,ften_client_number,ften_client_name,ften_life_cycle_status_code,rail_track_name,rail_owner_name,rail_operator_english_name,ogc_proponent,dam_name,dam_owner,wcrp_barrier_type,utm_zone,utm_easting,utm_northing,linear_feature_id,blue_line_key,downstream_route_measure,wscode_ltree,localcode_ltree,watershed_group_code,dnstr_barriers_anthropogenic,stream_order,stream_magnitude,gradient,accessibility_model_salmon,accessibility_model_steelhead,accessibility_model_wct,observedspp_dnstr,observedspp_upstr,watershed_upstr_ha,total_network_km,total_stream_km,total_lakereservoir_ha,total_wetland_ha,total_slopeclass03_waterbodies_km,total_slopeclass03_km,total_slopeclass05_km,total_slopeclass08_km,total_slopeclass15_km,total_slopeclass22_km,total_slopeclass30_km,total_belowupstrbarriers_network_km,total_belowupstrbarriers_stream_km,total_belowupstrbarriers_lakereservoir_ha,total_belowupstrbarriers_wetland_ha,total_belowupstrbarriers_slopeclass03_waterbodies_km,total_belowupstrbarriers_slopeclass03_km,total_belowupstrbarriers_slopeclass05_km,total_belowupstrbarriers_slopeclass08_km,total_belowupstrbarriers_slopeclass15_km,total_belowupstrbarriers_slopeclass22_km,total_belowupstrbarriers_slopeclass30_km,salmon_network_km,salmon_stream_km,salmon_lakereservoir_ha,salmon_wetland_ha,salmon_slopeclass03_waterbodies_km,salmon_slopeclass03_km,salmon_slopeclass05_km,salmon_slopeclass08_km,salmon_slopeclass15_km,salmon_slopeclass22_km,salmon_slopeclass30_km,salmon_belowupstrbarriers_network_km,salmon_belowupstrbarriers_stream_km,salmon_belowupstrbarriers_lakereservoir_ha,salmon_belowupstrbarriers_wetland_ha,salmon_belowupstrbarriers_slopeclass03_waterbodies_km,salmon_belowupstrbarriers_slopeclass03_km,salmon_belowupstrbarriers_slopeclass05_km,salmon_belowupstrbarriers_slopeclass08_km,salmon_belowupstrbarriers_slopeclass15_km,salmon_belowupstrbarriers_slopeclass22_km,salmon_belowupstrbarriers_slopeclass30_km,steelhead_network_km,steelhead_stream_km,steelhead_lakereservoir_ha,steelhead_wetland_ha,steelhead_slopeclass03_waterbodies_km,steelhead_slopeclass03_km,steelhead_slopeclass05_km,steelhead_slopeclass08_km,steelhead_slopeclass15_km,steelhead_slopeclass22_km,steelhead_slopeclass30_km,steelhead_belowupstrbarriers_network_km,steelhead_belowupstrbarriers_stream_km,steelhead_belowupstrbarriers_lakereservoir_ha,steelhead_belowupstrbarriers_wetland_ha,steelhead_belowupstrbarriers_slopeclass03_waterbodies_km,steelhead_belowupstrbarriers_slopeclass03_km,steelhead_belowupstrbarriers_slopeclass05_km,steelhead_belowupstrbarriers_slopeclass08_km,steelhead_belowupstrbarriers_slopeclass15_km,steelhead_belowupstrbarriers_slopeclass22_km,steelhead_belowupstrbarriers_slopeclass30_km,wct_network_km,wct_stream_km,wct_lakereservoir_ha,wct_wetland_ha,wct_slopeclass03_waterbodies_km,wct_slopeclass03_km,wct_slopeclass05_km,wct_slopeclass08_km,wct_slopeclass15_km,wct_slopeclass22_km,wct_slopeclass30_km,wct_belowupstrbarriers_network_km,wct_belowupstrbarriers_stream_km,wct_belowupstrbarriers_lakereservoir_ha,wct_belowupstrbarriers_wetland_ha,wct_belowupstrbarriers_slopeclass03_waterbodies_km,wct_belowupstrbarriers_slopeclass03_km,wct_belowupstrbarriers_slopeclass05_km,wct_belowupstrbarriers_slopeclass08_km,wct_belowupstrbarriers_slopeclass15_km,wct_belowupstrbarriers_slopeclass22_km,wct_belowupstrbarriers_slopeclass30_km,ch_spawning_km,ch_rearing_km,ch_spawning_belowupstrbarriers_km,ch_rearing_belowupstrbarriers_km,co_spawning_km,co_rearing_km,co_rearing_ha,co_spawning_belowupstrbarriers_km,co_rearing_belowupstrbarriers_km,co_rearing_belowupstrbarriers_ha,sk_spawning_km,sk_rearing_km,sk_rearing_ha,sk_spawning_belowupstrbarriers_km,sk_rearing_belowupstrbarriers_km,sk_rearing_belowupstrbarriers_ha,st_spawning_km,st_rearing_km,st_spawning_belowupstrbarriers_km,st_rearing_belowupstrbarriers_km,all_spawning_km,all_spawning_belowupstrbarriers_km,all_rearing_km,all_rearing_belowupstrbarriers_km,all_spawningrearing_km,all_spawningrearing_belowupstrbarriers_km,dbm_mof_50k_grid,dnstr_barriers_anthropogenic_count,Priority,calc,comments_betty,,comments_al,complete
,,,1805665,MODELLED CROSSINGS,,CBS,,,POTENTIAL,,,Road resource,paved,,,,,,,,,,,,"ROAD, RESOURCE/OTHER",9,6072988,627079,17043074,360873164,12991.03437,400.431358.319200,400.431358.319200.259997,BULK,,5,141,0.0258,POTENTIALLY ACCESSIBLE,POTENTIALLY ACCESSIBLE,,"CO, DV, LNC, RB, ST","CO, DV, RB, TR",14218.4108,253.93,226.9,48.48,1127.65,24.44,49,28.25,59.53,60.13,16.82,8.71,137.83,115.35,37.89,1088.98,20.77,40.36,15.23,25.66,24.92,6.91,2.15,142.17,122.43,22.74,778.22,19.16,45.81,23.21,36.67,17.18,0,0,79.38,62.66,13.97,750.93,16.29,38.36,11.19,9.76,3.71,0,0,159.44,139,23.84,783.8,19.7,45.86,23.36,40.7,26.46,3.2,0.01,87.32,70.06,15.07,754.9,,38.37,11.19,12.87,7.74,0.3,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,19.92,20.29,19.92,20.29,23.51,49.63,401.97,23.51,46.25,,0,0,,0,0,,20.29,43.34,20.29,36.91,23.51,23.51,56.71,49.13,56.71,49.13,093L.118,,x,49.13,satellite imagery shows a large falls 2.6 km upstream from modeled crossing - need to verify if falls exists,,,
,,,1800752,MODELLED CROSSINGS,,CBS,,,POTENTIAL,,,Road unclassified,rough,,,,,,,,,,,,"ROAD, RESOURCE/OTHER",9,6031209,676767,17093300,360846413,15352.02502,400.431358.820938,400.431358.820938.600233,BULK,"1001801969, 1001801133",4,27,0.0062,POTENTIALLY ACCESSIBLE,POTENTIALLY ACCESSIBLE,,"CSU, LKC, LSU, MW, NSC, RB","BB, CSU, LSU, LW, NSC, PCC, RB, RSC",1995.8481,45.98,24.84,323.81,46.32,21.13,6.49,9.63,5.37,1.89,1.01,0.45,41.23,20.61,323.54,41.35,20.6,4.95,7.96,4.85,1.39,1.01,0.45,43,21.93,323.54,46.32,21.07,6.06,9.63,5.04,1.2,0,0,38.75,18.14,323.54,41.35,20.6,4.94,7.96,4.52,0.72,0,0,43.17,22.1,323.54,46.32,21.07,6.08,9.63,5.04,1.26,0.09,0,38.92,18.31,323.54,41.35,,4.96,7.96,4.52,0.78,0.09,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.57,,0,0.57,,0,26.04,316.8,0,26.04,,0,0,0,0,0,0,26.61,26.61,26.61,26.61,093L.110,2,x,55.12,"Need to verify surface water connection to Bulkley R, habitat type - may be too low gradient for salmonids. Resident spp. only for long distance downstream Indicates salmon use unlikely",,,
,,,1801969,MODELLED CROSSINGS,,CBS,,,POTENTIAL,,,Road unclassified,rough,,,,,,,,,,,,"ROAD, RESOURCE/OTHER",9,6038906,673797,17086006,360846413,5805.831448,400.431358.820938,400.431358.820938.236730,BULK,1001801133,4,54,0.0136,POTENTIALLY ACCESSIBLE,POTENTIALLY ACCESSIBLE,,"CSU, LKC, LSU, MW, NSC, RB","BB, CBA, CC, CSU, LKC, LSU, LW, MW, NSB, NSC, PCC, RB, RSC",4882.4364,93.17,58.64,611.69,156.17,34.53,14.48,23.23,14.7,3.99,1.44,0.66,30.09,17.59,287.88,102.93,12.51,5.1,4.97,6.86,0.3,0.13,0.09,88.8,54.51,611.42,155.35,34.29,14.05,23.22,14.37,2.85,0.02,0,29.45,17.12,287.88,102.11,12.33,5.1,4.98,6.86,0.19,0,0,89.72,55.43,611.42,155.35,34.29,14.07,23.23,14.37,3.36,0.39,0,29.56,17.24,287.88,102.11,,5.1,4.97,6.86,0.3,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,3.18,8.485,59.12,3.18,6.99,,2.23,41.145,604.68,2.23,15.11,,0,4.81,0,4.81,3.53,3.53,51.26,23.72,51.26,23.72,093L.115,1,x,,Only resident spp noted for long distance downstream. Salmon/Steelhead utilization seems unlikely.,,,
,,,1803682,MODELLED CROSSINGS,,CBS,,,POTENTIAL,,Maxan Creek FSR,Road resource demographic,loose,7735,Forest Service Road,133887,DISTRICT MANAGER NADINA (DND),ACTIVE,,,,,,,"ROAD, RESOURCE/OTHER",9,6028531,682026,17094887,360886524,5387.097158,400.431358.912160,400.431358.912160.241831,BULK,1001805532,4,81,0.0102,POTENTIALLY ACCESSIBLE,POTENTIALLY ACCESSIBLE,,"CO, PL, RB","CAS, LNC, RB, RSC",6137.8815,122.42,118.19,0.42,58.62,4.11,23.68,16.42,28.62,40.48,6.32,1.98,38.45,38.44,0,0.01,-0.01,11.28,4.75,9.99,11.01,0.93,0.4,76.35,73.03,0.22,54.6,3.28,23.31,12.05,21.68,16.04,0,0,34.6,34.6,0,0.01,0,11.28,4.75,9.07,9.52,0,0,97.7,93.84,0.3,57.4,3.81,23.6,13.51,24.06,29.5,3.21,0,36.42,36.42,0,0.01,,11.28,4.75,9.99,10.04,0.39,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,6.83,0,6.83,10.41,13.91,,10.41,13.91,,0,0,,0,0,,0,22.71,0,17.54,10.41,10.41,22.71,17.54,22.71,17.54,093L.110,1,x,23.09,? Located upstream of Bulkley Falls ,,,
,,,1802760,MODELLED CROSSINGS,,CBS,,,POTENTIAL,,,Road unclassified,rough,,,,,,,,,,,,"ROAD, RESOURCE/OTHER",9,6053250,640551,17058599,360880400,3608.588573,400.431358.485911,400.431358.485911.155397,BULK,1001802820,4,133,0.0241,POTENTIALLY ACCESSIBLE,POTENTIALLY ACCESSIBLE,,"CO, DV, PK, RB, SK","C, CT, DV, RB",6676.635,157.49,140.23,125.46,172.92,15.73,13.19,12.19,27.6,47.03,21.6,10.28,105.6,89.4,119.57,163.8,15.02,11.89,10.12,12.26,30.93,11.85,5.72,54.2,42.33,88.54,140.4,11.28,10.42,7.92,15.6,8.97,0.01,0,41.96,30.09,88.54,140.4,11.28,9.53,6.5,8.18,6.46,0.01,0,80.14,67.08,97.91,150.86,12.23,10.89,9.82,19.28,22.51,5.41,0,63.03,49.97,97.91,150.86,,9.98,8.4,11.01,17.45,3.96,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3.76,6.5,3.76,6.5,8.63,16.11,65.8,8.63,16.11,,0,0,,0,0,,5.44,10.61,5.44,7.83,8.63,8.63,20.22,17.44,20.22,17.44,093L.118,1,x,18.63,Private property.  Good candidate if crossing exists and impassable,,,
123770,,,1800045,PSCIS,ASSESSED,CBS,ROUND,,BARRIER,Highway 16,Hwy 16,Road arterial major,paved,,,,,,,,,,,,"ROAD, DEMOGRAPHIC",9,606627,6097185,17029516,360849615,261,400.431358.197707,400.431358.197707,BULK,,5,185,0.0304,POTENTIALLY ACCESSIBLE - PSCIS BARRIER DOWNSTREAM,POTENTIALLY ACCESSIBLE - PSCIS BARRIER DOWNSTREAM,,PK,"BT, CH, CT, DV, RB",8063.7794,204.18,202.69,0.13,12.75,1.08,6.22,9.64,9.74,22.17,39.15,25.79,202.36,201.09,0.13,12.24,0.87,6.22,9.33,9.09,21.53,39.15,25.79,18.79,18.79,0,0,0.24,4.69,7.16,4.57,2.33,0,0,18.44,18.44,0,0,0.24,4.69,7.1,4.28,2.33,0,0,39.08,38.2,0,11.42,0.71,5.05,8.09,8.18,13.28,3.91,0.07,38.69,37.81,0,11.42,,5.05,8.03,7.89,13.24,3.91,0.07,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4.61,10.8,4.61,10.8,11.71,11.71,0,11.71,11.71,,0,0,,0,0,,10.26,15.88,10.26,15.88,11.71,11.71,15.88,15.88,15.88,15.88,093M.102,,x,15.88,John Brown. Excellent candidate. Needs habitat confirmation,,,
57944,,,1800167,PSCIS,ASSESSED,CBS,ROUND,,BARRIER,Hwy 16,Hwy 16 W,Road highway major,paved,,,,,,,,,,,,"ROAD, DEMOGRAPHIC",9,607729,6089383,17035138,360863724,187,400.431358.237852,400.431358.237852,BULK,,5,182,0.0179,POTENTIALLY ACCESSIBLE - PSCIS BARRIER DOWNSTREAM,POTENTIALLY ACCESSIBLE - PSCIS BARRIER DOWNSTREAM,,,"CC, CH, CO, CT, DV, KO, L, LSU, MW, OS, PK, RB, SK, SST, ST",11987.4751,236.13,219.62,25.08,267.04,14.71,38.64,19.67,11.88,36.37,22.15,12.84,17.9,13.71,0.13,84.25,4.02,12.61,0.43,0.07,0.78,-0.01,0.01,88.15,73.42,16.9,267.04,13.63,37.94,18.87,9.55,7.63,0,0.03,17.16,12.99,0.13,84.25,4.01,12.61,0.42,0.07,0.05,0,0,96.94,82.21,16.9,267.04,13.63,38.01,19,9.83,14.57,1.35,0.03,17.89,13.72,0.13,84.25,,12.6,0.42,0.07,0.79,-0.01,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,6.88,8.63,6.88,7.78,16,36.005,122.8,8.38,14.92,,0,0,,0,0,,7.71,27.82,7.52,9.73,16,8.38,40.875,14.92,40.875,14.92,093L.122,,x,20.81,"This crossing was backwatered with weirs, which blew out in 2017 and were repaired in 2019. Replacement a good option if retrofits continue to fail",,,
,,,24704566,MODELLED CROSSINGS,,CBS,,,POTENTIAL,,,,,,,,,,None,Canadian National,Canadian National,,,,RAIL,9,6099884,605786,17027749,360884284,2747.080638,400.431358.181726,400.431358.181726.120224,BULK,123776,4,149,0.0008,POTENTIALLY ACCESSIBLE - PSCIS BARRIER DOWNSTREAM,POTENTIALLY ACCESSIBLE - PSCIS BARRIER DOWNSTREAM,,"DV, RB","DV, RB",6571.9725,157.04,156.72,0.96,0,1.7,4.79,6.56,8.03,14.4,13.64,12.44,151.52,151.2,0.96,0,1.7,3.9,6.56,6.74,12.37,13.43,11.79,19.17,19.17,0,0,1.34,4.6,6.54,6.47,1.51,0.05,0,17.73,17.73,0,0,1.34,3.71,6.54,5.93,1.51,0.05,0,27.01,27.01,0,0,1.34,4.66,6.56,7.9,6.29,1.56,0.01,24.46,24.46,0,0,,3.77,6.56,6.61,5.92,1.56,0.01,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2.59,6.8,2.59,6.8,9.07,9.07,0,9.07,9.07,,0,0,,0,0,,5.4,11.46,5.4,11.46,9.07,9.07,12.34,12.34,12.34,12.34,093M.102,1,x,13.21,Modeled OBS tbc,,,
,,,1802044,MODELLED CROSSINGS,,CBS,,,POTENTIAL,,,Road unclassified,rough,,,,,,,,,,,,"ROAD, RESOURCE/OTHER",9,6041007,683959,17082724,360878058,9624.920945,400.431358.815756,400.431358.815756.394770,BULK,"1001801122, 1001800355, 1001800422",5,66,0.0074,POTENTIALLY ACCESSIBLE,POTENTIALLY ACCESSIBLE,,"CO, DV, RB","CT, RB",5926.3813,110.02,82.22,41.48,331.13,21.49,18.71,18.86,18.58,21.31,6.48,1.91,15.52,11.35,4.09,75.35,4.14,9.67,1.48,0.15,0.06,0.01,0,37.44,27.14,29.21,157.87,9.48,11.95,6.36,5.37,3.92,0.1,0,15.53,11.36,4.1,75.36,4.14,9.67,1.48,0.15,0.06,0.02,0,43.07,31.98,29.21,168.13,9.9,12.28,7.04,6.05,6.11,1.44,0,15.53,11.35,4.1,75.35,,9.68,1.48,0.15,0.07,0.02,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0.05,1.56,0.05,1.56,5.27,11.78,56.15,4.88,10.34,,0,0,,0,0,,0.05,13.36,0.05,9.08,5.27,4.88,16.45,11.63,16.45,11.63,093L.115,3,x,19.44,"Noted as having excellent overwintering habitat, but very few coho observations in accessible reaches",,,
,,,1802089,MODELLED CROSSINGS,,CBS,,,POTENTIAL,,,Road unclassified,rough,,,,,,,,,,,,"ROAD, RESOURCE/OTHER",9,6046967,668873,17071465,360866287,3816.021308,400.431358.763808,400.431358.763808.215524,BULK,197663,4,52,0.026,POTENTIALLY ACCESSIBLE - PSCIS BARRIER DOWNSTREAM,POTENTIALLY ACCESSIBLE - PSCIS BARRIER DOWNSTREAM,,"CH, CO, CT, DV, RB, ST",RB,3818.6002,78.79,71.8,0.45,127.88,6.98,31.73,25.36,10.48,2.69,1.42,0,32.17,31.56,0,6.71,0.6,7.87,13.45,6.22,2.58,1.32,0,70.55,63.56,0.45,127.88,6.98,31.73,22.12,7.91,1.81,0,0,25.41,24.79,0,6.71,0.6,7.87,10.21,5.01,1.7,0,0,75.68,68.7,0.45,127.88,6.98,31.73,25.36,8.8,2.23,0.58,0,29.55,28.95,0,6.71,,7.87,13.45,5.03,2.12,0.48,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1.71,0,1.71,7.49,20.05,42.14,7.49,11.08,,0,0,,0,0,,0,12.96,0,10.96,7.49,7.49,20.21,11.22,20.21,11.22,093L.115,1,"x, possible waterfall 3 km upstream (Irvine 2021)",14.01,"Good candidate for further investigation, though Al's report from this year speculates that the crossing is unlikely to exist, as the roads are all old and unmaintained in this area. Potential unmapped falls at approx 6 km mark. Good candidate for drone recon. Requires remediation of barrier downstream first",,,
